ID	l [deg]	b [deg]	Area [pc^2]	Distance [kpc]	Flag	Mass [M_o]	# of distance points
89  	38.38316666666483 	-0.7558333333332579    	2.942417009904482    	8.54	B	16.495475575240164 	1 
90  	38.35216666666483 	-1.030499999999897     	0.9278612489602613   	1.08	A	16.49048975887854  	3 
91  	38.3418333333315  	-0.8031666666665864    	0.6847047767204051   	1.09	B	7.304303622438986  	4 
92  	38.3258333333315  	-0.7328333333332602    	0.010967658814254181 	1.11	A	0.06668401849761657	1 
93  	38.32416666666484 	-0.8164999999999184    	0.01744946058122093  	1.08	A	0.15071704670911407	1 
94  	38.28349999999817 	0.83283333333325       	1.1236975678196752   	2.54	A	40.90820147338696  	2 
95  	38.23716666666484 	-0.13616666666665306   	17.31355612861719    	9.18	B	738.9465997404337  	1 
96  	38.17449999999818 	-0.19649999999998036   	21.216276098689097   	9.51	B	1012.6194928438089 	1 
97  	38.185499999998186	-0.14449999999998553   	3.715480567418401    	9.36	B	148.89242256406638 	1 
98  	38.24483333333151 	0.7231666666665943     	1.7638026074888      	2.76	A	47.208491577678124 	1 
99  	38.22716666666484 	-0.40316666666662637   	35.544331554479534   	9.32	A	433.75090905900106 	1 
100 	38.19816666666485 	-0.3801666666666286    	15.956945495763897   	3.74	B	498.08908347424443 	2 
101 	38.15283333333152 	-0.3254999999999675    	2.237969054201419    	8.02	B	104.39910697471866 	1 
102 	38.09949999999819 	-0.05983333333332735   	34.12461485047115    	8.11	A	1245.5564295349882 	3 
103 	38.0614999999982  	0.20216666666664643    	6.537812428563004    	2.63	A	132.2176131319337  	2 
104 	38.06816666666486 	0.10216666666665644    	3.822946959871375    	7.69	A	30.927793664734565 	1 
105 	38.04016666666487 	0.06816666666665985    	4.8959096265733315   	5.21	B	170.62158720595048 	2 
106 	38.009833333331535	0.08716666666665795    	2.6560913652479825   	8.04	B	59.7381103614534   	1 
107 	37.94716666666487 	-0.002833333333333049  	44.11544793755261    	7.82	A	2275.5575621219705 	1 
108 	37.95316666666487 	-0.059499999999994044  	107.22855073224177   	9.86	A	20576.545773824673 	3 
109 	37.79916666666489 	0.7778333333332555     	0.6443179933546619   	2.28	A	25.585512409329873 	1 
110 	37.76783333333155 	-0.8488333333332484    	0.016185880446834805 	0.92	B	0.31995452134988467	1 
111 	37.752166666664884	-0.8388333333332494    	0.003523651849487931 	0.92	B	0.27611878580357424	1 
112 	37.747833333331556	-0.8471666666665819    	0.41111344668132754  	4.81	B	32.18053589847888  	1 
113 	37.71216666666489 	0.2844999999999715     	3.156205746551567    	7.24	B	68.78194001635892  	1 
114 	37.705166666664894	0.26949999999997304    	0.759967580787898    	7.26	B	19.354573045546626 	1 
115 	37.65083333333156 	0.2624999999999737     	32.74142152124754    	7.31	B	860.2720563473983  	2 
116 	37.62049999999824 	0.2281666666666438     	9.1122958799667      	7.25	B	234.17404736452207 	1 
117 	37.59949999999824 	0.21983333333331134    	0.15032260431716285  	7.8 	A	3.1395235566533093 	1 
118 	37.55816666666491 	0.15049999999998492    	0.9967271176739405   	2.59	B	91.65847745248277  	1 
119 	37.54516666666491 	0.04883333333332844    	71.2866546332945     	5.55	A	3165.056965871254  	1 
120 	37.492166666664914	0.15216666666665146    	26.433934337967184   	5.55	A	1700.84832323509   	1 
121 	37.47249999999825 	0.18149999999998184    	7.644753912741657    	7.79	A	129.9291529199808  	1 
122 	37.39516666666493 	0.08849999999999116    	14.147999158666282   	7.81	A	584.5800467317692  	1 
123 	37.367833333331596	0.06549999999999345    	4.711593024678055    	7.85	B	440.9336611778408  	2 
124 	37.322166666664934	0.13049999999998696    	7.311859409570331    	7.29	A	237.17814744240815 	1 
125 	37.3108333333316  	0.09549999999999044    	10.277974087646955   	7.29	B	944.4452344386822  	2 
126 	37.28016666666493 	0.10683333333332264    	3.299101426171938    	7.4 	B	187.79127221615585 	1 
127 	37.67549999999823 	-0.08949999999999106   	1.750265778278947    	5.45	A	123.26312320110269 	1 
128 	37.60116666666491 	0.42816666666662384    	16.61834425431342    	7.36	A	1767.3781833427483 	1 
129 	37.583499999998246	0.4251666666666241     	2.705587553166684    	7.2 	A	162.89912270364977 	1 
130 	37.214166666664944	-0.025166666666664145  	2.6559716472173682   	5.77	B	87.191178318166    	1 
131 	37.214499999998274	-0.016166666666665046  	0.420043959577557    	7.46	B	7.796240849273147  	1 
132 	37.20716666666495 	0.29783333333330353    	4.8895269134683845   	8.3 	A	194.86981832257013 	1 
133 	37.16949999999828 	0.09916666666665674    	9.583227959839492    	7.56	B	782.0770160763819  	1 
134 	37.16649999999828 	0.06516666666666016    	1.7707598256628305   	5.78	B	109.40884600227672 	1 
135 	37.18183333333161 	-0.0014999999999998521 	19.92692808229957    	7.52	A	484.34694091820364 	3 
136 	37.13016666666495 	-0.24216666666664247   	7.679075800510431    	7.41	A	847.6716029235916  	1 
137 	37.10249999999829 	-0.22483333333331085   	0.7986188199429489   	8.38	A	120.83970022515672 	1 
138 	37.081166666664956	-0.15049999999998495   	13.011423043265555   	4.69	B	162.07721955395533 	1 
139 	37.103833333331615	-0.13116666666665355   	2.411771020924514    	8.35	B	18.79238083416253  	1 
140 	37.05749999999829 	-0.024166666666664248  	17.992774153295557   	8.39	A	1855.6977500399346 	2 
141 	37.04216666666496 	-0.06949999999999304   	16.170148063879363   	8.39	A	267.266297890251   	1 
142 	37.02883333333163 	-0.4244999999999575    	3.6829409352493245   	4.99	A	74.71041107435379  	1 
143 	36.948499999998305	0.26216666666664046    	100.88906875550937   	9.8 	A	1434.967288192734  	1 
144 	36.93283333333164 	-0.040833333333329246  	7.075066649077704    	4.81	A	45.726680242716355 	2 
145 	36.90083333333164 	-0.4101666666666256    	10.846485660071407   	4.84	B	1346.0536021534751 	3 
