ID	l [deg]	b [deg]	Area [pc^2]	Distance [kpc]	Flag	Mass [kg]	# of distance points
97  	38.185499999998186	-0.14449999999998553   	0.0003715480567397441 	9.36	B	11314013.872585597	1 
98  	38.24483333333151 	0.7231666666665943     	0.000176380260747885  	2.76	A	3587271.396459865 	1 
99  	38.22716666666484 	-0.40316666666662637   	0.0035544331554279033 	9.32	A	32959795.52101477 	1 
100 	38.19816666666485 	-0.3801666666666286    	0.0015956945495673887 	3.74	B	37848714.54950113 	2 
101 	38.15283333333152 	-0.3254999999999675    	0.00022379690541887945	8.02	B	7933062.839979465 	1 
102 	38.09949999999819 	-0.05983333333332735   	0.0034124614850278645 	8.11	A	94647145.10090898 	3 
103 	38.0614999999982  	0.20216666666664643    	0.0006537812428526125 	2.63	A	10046931.088996038	2 
104 	38.06816666666486 	0.10216666666665644    	0.00038229469598498095	7.69	A	2350136.296699096 	1 
105 	38.04016666666487 	0.06816666666665985    	0.0004895909626545713 	5.21	B	12965166.20098693 	2 
106 	38.009833333331535	0.08716666666665795    	0.0002656091365233    	8.04	B	4539370.08823073  	1 
107 	37.94716666666487 	-0.002833333333333049  	0.004411544793730376  	7.82	A	172914708.3669555 	1 
108 	37.95316666666487 	-0.059499999999994044  	0.010722855073163689  	9.86	A	1563567308.0325685	3 
109 	37.79916666666489 	0.7778333333332555     	6.443179933510273e-05 	2.28	A	1944187.8730384156	1 
110 	37.76783333333155 	-0.8488333333332484    	1.61858804467435e-06  	0.92	B	24312.653597878405	1 
111 	37.752166666664884	-0.8388333333332494    	3.523651849468054e-07 	0.92	B	20981.670653648685	1 
112 	37.747833333331556	-0.8471666666665819    	4.1111344667900835e-05	4.81	B	2445329.475554509 	1 
113 	37.71216666666489 	0.2844999999999715     	0.0003156205746533763 	7.24	B	5226591.186623928 	1 
114 	37.705166666664894	0.26949999999997304    	7.59967580783611e-05  	7.26	B	1470712.2374952468	1 
115 	37.65083333333156 	0.2624999999999737     	0.003274142152106284  	7.31	B	65370217.047305875	2 
116 	37.62049999999824 	0.2281666666666438     	0.0009112295879915299 	7.25	B	17794380.49872349 	1 
117 	37.59949999999824 	0.21983333333331134    	1.5032260431631487e-05	7.8 	A	238565.61980513672	1 
118 	37.55816666666491 	0.15049999999998492    	9.967271176683176e-05 	2.59	B	6964929.897565782 	1 
119 	37.54516666666491 	0.04883333333332844    	0.007128665463289237  	5.55	A	240505848.46910337	1 
